article_id,outlet,entity_type,sentence_resolved,description_phrase,extraction_method,token_span
Fox_0016,Fox,victim,"We had the Walmart in El Paso, Odessa and then...four years ago and oneweek, we had the shooting at Santa Fe, where we lost eight students and two teachers, and I will tell you, Tucker, that I've been to alot of funerals, a lot of services, a lot of hospitals, nothing compares to what Bill [Melugin] just said about the loss of a child.",a child,pos,329-336
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",DEAD parent,dep,80-99
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",has child envisions,dep,124-145
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",has child,dep,188-199
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",would feel,dep,200-210
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",TEXAS SCHOOL SHOOTING,dep,8-29
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",18 STUDENTS,dep,31-42
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",grandparent,dep,107-118
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",ONE ADULT KILLED,pos,44-60
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",a child envisions,pos,128-145
Fox_0016,Fox,victim,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD 

Every parent, every grandparent that has a child envisions what Every parent, every grandparent that has a child would feel if it happened to Every parent, every grandparent that has a child.",a child,pos,192-199
Fox_0016,Fox,victim,"These teachers, this community of 16,000 — the school systemonly had 4,000 students in the entire system — Tucker.",had students,dep,65-83
Fox_0016,Fox,victim,"These teachers, this community of 16,000 — the school systemonly had 4,000 students in the entire system — Tucker.",community,dep,21-30
Fox_0016,Fox,victim,"These teachers, this community of 16,000 — the school systemonly had 4,000 students in the entire system — Tucker.",These teachers,pos,0-14
Fox_0016,Fox,victim,"These teachers, this community of 16,000 — the school systemonly had 4,000 students in the entire system — Tucker.","4,000 students",pos,69-83
Fox_0017,Fox,victim,"Two Robb Elementary School students who were missing hours after a horrific shooting at the school are among the 22 people whowere killed, the families say.",were missing hours,dep,40-58
Fox_0017,Fox,victim,"Two Robb Elementary School students who were missing hours after a horrific shooting at the school are among the 22 people whowere killed, the families say.",killed,dep,131-137
Fox_0017,Fox,victim,"Two Robb Elementary School students who were missing hours after a horrific shooting at the school are among the 22 people whowere killed, the families say.",Two Robb Elementary School students,pos,0-35
Fox_0017,Fox,victim,"Two Robb Elementary School students who were missing hours after a horrific shooting at the school are among the 22 people whowere killed, the families say.",the 22 people,pos,109-122
Fox_0017,Fox,victim,"The whereabouts of Elijah Cruz Torres, 10, were unknown in the aftermath of the second-deadliest mass shooting of a school inU.S. history since Sandy Hook Elementary.",the second-deadliest mass shooting,pos,76-110
Fox_0017,Fox,victim,"Annabelle Guadalupe Rodriguez, 10, who did not make contact with her family in the hours after suspected gunman SalvadorRamos, a student of Uvalde High School, carried out suspected gunman SalvadorRamos, a student of Uvalde High School, shooting spree, was also among those who died, her father told Fox 7Austin.",carried out gunman,dep,160-188
Fox_0017,Fox,victim,"Annabelle Guadalupe Rodriguez, 10, who did not make contact with her family in the hours after suspected gunman SalvadorRamos, a student of Uvalde High School, carried out suspected gunman SalvadorRamos, a student of Uvalde High School, shooting spree, was also among those who died, her father told Fox 7Austin.",student,dep,129-136
Fox_0017,Fox,victim,"Annabelle Guadalupe Rodriguez, 10, who did not make contact with her family in the hours after suspected gunman SalvadorRamos, a student of Uvalde High School, carried out suspected gunman SalvadorRamos, a student of Uvalde High School, shooting spree, was also among those who died, her father told Fox 7Austin.",SalvadorRamos,dep,189-202
Fox_0017,Fox,victim,"Annabelle Guadalupe Rodriguez, 10, who did not make contact with her family in the hours after suspected gunman SalvadorRamos, a student of Uvalde High School, carried out suspected gunman SalvadorRamos, a student of Uvalde High School, shooting spree, was also among those who died, her father told Fox 7Austin.",her family,pos,65-75
Fox_0017,Fox,victim,"Annabelle Guadalupe Rodriguez, 10, who did not make contact with her family in the hours after suspected gunman SalvadorRamos, a student of Uvalde High School, carried out suspected gunman SalvadorRamos, a student of Uvalde High School, shooting spree, was also among those who died, her father told Fox 7Austin.",a student,pos,127-136
Fox_0017,Fox,victim,"Elijah Cruz Torres, a 10-year-old student at Robb Elementary School, is still missing following a shooting incident on May 24, 2022.",is missing,dep,69-85
Fox_0017,Fox,victim,"Elijah Cruz Torres, a 10-year-old student at Robb Elementary School, is still missing following a shooting incident on May 24, 2022.",old student,pos,30-41
Fox_0017,Fox,victim,"Elijah Cruz Torres, a 10-year-old student at Robb Elementary School, is still missing following a shooting incident on May 24, 2022.",a 10-year-old student,pos,20-41
Fox_0019,Fox,victim,"President Biden appeared on camera tonight for less than eight minutes,
not because President Biden believed that President Biden words would comfort the families or the friends of the victims.",would comfort families,dep,136-162
Fox_0019,Fox,victim,"President Biden appeared on camera tonight for less than eight minutes,
not because President Biden believed that President Biden words would comfort the families or the friends of the victims.",the victims,pos,181-192
Fox_0021,Fox,victim,"Andrew Pollack, who became a prominent advocate for school safety after Andrew Pollack, who became a prominent advocate for school safety after his daughter was a victim in the 2018 Parkland shooting daughter was a victim in the 2018 Parkland shooting,
shared what could have been done to avoid the massacre at Robb Elementary School in Uvalde, Texas, Tuesday on ""TheIngraham Angle.",a victim,pos,161-169
Fox_0021,Fox,victim,"How hard could it be that a single point ofentry and armed policemen or highly trained teachers at the school, even at a single point of entry, would prevent the 2018 Parkland shooting.",trained,dep,79-86
Fox_0021,Fox,victim,"How hard could it be that a single point ofentry and armed policemen or highly trained teachers at the school, even at a single point of entry, would prevent the 2018 Parkland shooting.",would prevent Parkland shooting,dep,144-184
Fox_0021,Fox,victim,"How hard could it be that a single point ofentry and armed policemen or highly trained teachers at the school, even at a single point of entry, would prevent the 2018 Parkland shooting.",single point ofentry,pos,28-48
Fox_0021,Fox,victim,"How hard could it be that a single point ofentry and armed policemen or highly trained teachers at the school, even at a single point of entry, would prevent the 2018 Parkland shooting.",armed policemen,pos,53-68
Fox_0021,Fox,victim,"How hard could it be that a single point ofentry and armed policemen or highly trained teachers at the school, even at a single point of entry, would prevent the 2018 Parkland shooting.",highly trained teachers,pos,72-95
Fox_0022,Fox,victim,"A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded himself in a classroom and opened fire.",left children,dep,53-78
Fox_0022,Fox,victim,"A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded himself in a classroom and opened fire.",anarmed,dep,107-114
Fox_0022,Fox,victim,"A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded himself in a classroom and opened fire.",A mass shooting,pos,0-15
Fox_0022,Fox,victim,"A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded himself in a classroom and opened fire.",at least 19 children,pos,58-78
Fox_0022,Fox,victim,"A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded himself in a classroom and opened fire.",two teachers,pos,83-95
Fox_0022,Fox,victim,"A state trooper walks past the Robb Elementary School sign in Uvalde, Texas, Tuesday, May 24, 2022, following a deadly shooting at the school.",a deadly shooting,pos,110-127
Fox_0023,Fox,victim,"After at least 19 students at Robb Elementary School in Uvalde, Texas, were killed Tuesday morning, a family member of one of thechildren killed is encouraging parents across the country to hold parents across the country own children close, as parents across the country never know when it will be the lasttime.",were killed,dep,71-82
Fox_0023,Fox,victim,"After at least 19 students at Robb Elementary School in Uvalde, Texas, were killed Tuesday morning, a family member of one of thechildren killed is encouraging parents across the country to hold parents across the country own children close, as parents across the country never know when it will be the lasttime.",own,dep,222-225
Fox_0023,Fox,victim,"After at least 19 students at Robb Elementary School in Uvalde, Texas, were killed Tuesday morning, a family member of one of thechildren killed is encouraging parents across the country to hold parents across the country own children close, as parents across the country never know when it will be the lasttime.",at least 19 students,pos,6-26
Fox_0023,Fox,victim,"After at least 19 students at Robb Elementary School in Uvalde, Texas, were killed Tuesday morning, a family member of one of thechildren killed is encouraging parents across the country to hold parents across the country own children close, as parents across the country never know when it will be the lasttime.",a family member,pos,100-115
Fox_0023,Fox,victim,"After at least 19 students at Robb Elementary School in Uvalde, Texas, were killed Tuesday morning, a family member of one of thechildren killed is encouraging parents across the country to hold parents across the country own children close, as parents across the country never know when it will be the lasttime.",own children,pos,222-234
Fox_0023,Fox,victim,"""

Martinez is the uncle of fourth-grader Xavier Lopez, 10, who was killed when a gunman broke into the school and fatally shot atleast 19 children and two teachers.",fatally shot children,dep,115-147
Fox_0023,Fox,victim,"""

Martinez is the uncle of fourth-grader Xavier Lopez, 10, who was killed when a gunman broke into the school and fatally shot atleast 19 children and two teachers.",19 children,pos,136-147
Fox_0023,Fox,victim,"""

Martinez is the uncle of fourth-grader Xavier Lopez, 10, who was killed when a gunman broke into the school and fatally shot atleast 19 children and two teachers.",two teachers,pos,152-164
Fox_0023,Fox,victim,"Fourth-grader Xavier Lopez, 10, was killed when a gunman broke into Robb Elementary School in Uvalde, Texas on May 24, 2022.",was killed,dep,32-42
Fox_0023,Fox,victim,"""I am still trying to process everything that is going on,"" a family member of one of thechildren killed said during an interview with Fox News Digital.",a family member,pos,60-75
Fox_0024,Fox,victim,"Matthew McConaughey said Tuesday that ""action must be taken"" after a shooting at an elementary school in Matthew McConaughey hometown ofUvalde, Texas, left at least 19 children and two teachers dead.",left children,dep,151-176
Fox_0024,Fox,victim,"Matthew McConaughey said Tuesday that ""action must be taken"" after a shooting at an elementary school in Matthew McConaughey hometown ofUvalde, Texas, left at least 19 children and two teachers dead.",at least 19 children,pos,156-176
Fox_0024,Fox,victim,"Matthew McConaughey said Tuesday that ""action must be taken"" after a shooting at an elementary school in Matthew McConaughey hometown ofUvalde, Texas, left at least 19 children and two teachers dead.",two teachers,pos,181-193
Fox_0024,Fox,victim,"Matthew McConaughey, pictured in 2019, is from Uvalde, Texas where a mass shooting claimed the lives of at least 19 children andtwo teachers.",claimed lives,dep,83-100
Fox_0024,Fox,victim,"Matthew McConaughey, pictured in 2019, is from Uvalde, Texas where a mass shooting claimed the lives of at least 19 children andtwo teachers.",Texas,dep,55-60
Fox_0024,Fox,victim,"Matthew McConaughey, pictured in 2019, is from Uvalde, Texas where a mass shooting claimed the lives of at least 19 children andtwo teachers.",a mass shooting,pos,67-82
Fox_0024,Fox,victim,"Matthew McConaughey, pictured in 2019, is from Uvalde, Texas where a mass shooting claimed the lives of at least 19 children andtwo teachers.",at least 19 children andtwo teachers,pos,104-140
NYT_0002,NYT,victim,"In the aftermath of Tuesday's school massacre in Uvalde, Texas, where an 18-year-old gunman killed 19 children and two teachers, Mr. Cruz remained unapologetic in Senator Ted Cruz of Texas broad opposition to gun control measures.",killed children,dep,92-110
NYT_0002,NYT,victim,"In the aftermath of Tuesday's school massacre in Uvalde, Texas, where an 18-year-old gunman killed 19 children and two teachers, Mr. Cruz remained unapologetic in Senator Ted Cruz of Texas broad opposition to gun control measures.",remained,dep,138-146
NYT_0002,NYT,victim,"In the aftermath of Tuesday's school massacre in Uvalde, Texas, where an 18-year-old gunman killed 19 children and two teachers, Mr. Cruz remained unapologetic in Senator Ted Cruz of Texas broad opposition to gun control measures.",Texas,dep,57-62
NYT_0002,NYT,victim,"In the aftermath of Tuesday's school massacre in Uvalde, Texas, where an 18-year-old gunman killed 19 children and two teachers, Mr. Cruz remained unapologetic in Senator Ted Cruz of Texas broad opposition to gun control measures.",19 children,pos,99-110
NYT_0002,NYT,victim,"In the aftermath of Tuesday's school massacre in Uvalde, Texas, where an 18-year-old gunman killed 19 children and two teachers, Mr. Cruz remained unapologetic in Senator Ted Cruz of Texas broad opposition to gun control measures.",two teachers,pos,115-127
NYT_0004,NYT,victim,"On Wednesday, the day after a deadly shooting at an elementary school in Uvalde, Texas, prices for major gun-related stocks rose after a subdued start.",a deadly shooting,pos,28-45
NYT_0005,NYT,victim,"Within the past two weeks, the country saw the two deadliest mass shootings of the year, which authorities say were both committed by 18-year-olds using semiautomatic firearms.",were committed by olds,dep,111-146
NYT_0005,NYT,victim,"Within the past two weeks, the country saw the two deadliest mass shootings of the year, which authorities say were both committed by 18-year-olds using semiautomatic firearms.",the two deadliest mass shootings,pos,43-75
NYT_0005,NYT,victim,"Permissive gun laws and easy access to firearms subject the population to the constant threat of mass shootings like the one in Uvalde, where 19 children and two teachers were fatally shot.",were fatally shot,dep,171-188
NYT_0005,NYT,victim,"Permissive gun laws and easy access to firearms subject the population to the constant threat of mass shootings like the one in Uvalde, where 19 children and two teachers were fatally shot.",constant threat,pos,78-93
NYT_0005,NYT,victim,"Permissive gun laws and easy access to firearms subject the population to the constant threat of mass shootings like the one in Uvalde, where 19 children and two teachers were fatally shot.",mass shootings,pos,97-111
NYT_0005,NYT,victim,"Permissive gun laws and easy access to firearms subject the population to the constant threat of mass shootings like the one in Uvalde, where 19 children and two teachers were fatally shot.",were shot,dep,171-188
NYT_0005,NYT,victim,"Permissive gun laws and easy access to firearms subject the population to the constant threat of mass shootings like the one in Uvalde, where 19 children and two teachers were fatally shot.",19 children,pos,142-153
NYT_0005,NYT,victim,"Permissive gun laws and easy access to firearms subject the population to the constant threat of mass shootings like the one in Uvalde, where 19 children and two teachers were fatally shot.",two teachers,pos,158-170
NYT_0006,NYT,victim,"Victoria, a third grader, was sitting on her 9-year-old granddaughter, Victoria own bed, which was covered in stuffed animals; her 9-year-old granddaughter, Victoria had already seen on the evening news that children her 9-year-old granddaughter, Victoria age had been killed in a mass shooting at a school in Texas.",children granddaughter,dep,208-245
NYT_0006,NYT,victim,"Victoria, a third grader, was sitting on her 9-year-old granddaughter, Victoria own bed, which was covered in stuffed animals; her 9-year-old granddaughter, Victoria had already seen on the evening news that children her 9-year-old granddaughter, Victoria age had been killed in a mass shooting at a school in Texas.",a mass shooting,pos,279-294
NYT_0006,NYT,victim,"Now, Ms. Belliard had to consider just what Luz Belliard would tell Victoria on their walk to school the next morning: Listen to your teachers.",Listen,dep,119-125
NYT_0006,NYT,victim,"Now, Ms. Belliard had to consider just what Luz Belliard would tell Victoria on their walk to school the next morning: Listen to your teachers.",your teachers,pos,129-142
NYT_0006,NYT,victim,"To take your child to school, and then come back to see your child dead, it's not fair.",To take child,dep,0-18
NYT_0006,NYT,victim,"To take your child to school, and then come back to see your child dead, it's not fair.",to see,dep,49-55
NYT_0006,NYT,victim,"To take your child to school, and then come back to see your child dead, it's not fair.",your child,pos,8-18
NYT_0007,NYT,victim,"As the nation reels from a massacre at a Texas elementary school in which a gunman killed 19 children and two teachers, a review of Republican and Democratic advertising during the first months of 2022 highlights the giant cultural chasm over guns in America.",killed children chasm,dep,83-237
NYT_0007,NYT,victim,"As the nation reels from a massacre at a Texas elementary school in which a gunman killed 19 children and two teachers, a review of Republican and Democratic advertising during the first months of 2022 highlights the giant cultural chasm over guns in America.",elementary school,pos,47-64
NYT_0007,NYT,victim,"As the nation reels from a massacre at a Texas elementary school in which a gunman killed 19 children and two teachers, a review of Republican and Democratic advertising during the first months of 2022 highlights the giant cultural chasm over guns in America.",review,dep,122-128
NYT_0007,NYT,victim,"As the nation reels from a massacre at a Texas elementary school in which a gunman killed 19 children and two teachers, a review of Republican and Democratic advertising during the first months of 2022 highlights the giant cultural chasm over guns in America.",19 children,pos,90-101
NYT_0007,NYT,victim,"As the nation reels from a massacre at a Texas elementary school in which a gunman killed 19 children and two teachers, a review of Republican and Democratic advertising during the first months of 2022 highlights the giant cultural chasm over guns in America.",two teachers,pos,106-118
NYT_0009,NYT,victim,"The gunman who killed 19 children and two teachers in a rural Texas elementary school on Tuesday entered the building despite being confronted by an armed school security officer, then wounded two responding police officers and engaged in a standoff inside the school for over an hour, state police officials said.",killed children,dep,15-33
NYT_0009,NYT,victim,"The gunman who killed 19 children and two teachers in a rural Texas elementary school on Tuesday entered the building despite being confronted by an armed school security officer, then wounded two responding police officers and engaged in a standoff inside the school for over an hour, state police officials said.",entered building,dep,97-117
NYT_0009,NYT,victim,"The gunman who killed 19 children and two teachers in a rural Texas elementary school on Tuesday entered the building despite being confronted by an armed school security officer, then wounded two responding police officers and engaged in a standoff inside the school for over an hour, state police officials said.",19 children,pos,22-33
NYT_0009,NYT,victim,"The gunman who killed 19 children and two teachers in a rural Texas elementary school on Tuesday entered the building despite being confronted by an armed school security officer, then wounded two responding police officers and engaged in a standoff inside the school for over an hour, state police officials said.",two teachers,pos,38-50
NYT_0009,NYT,victim,"It was not known how many were killed in the first minutes of the massacre, which was the deadliest in an American school since 20 children and six educators were shot to death at Sandy Hook Elementary School in Newtown, Conn., in 2012.",first minutes,pos,45-58
NYT_0009,NYT,victim,"It was not known how many were killed in the first minutes of the massacre, which was the deadliest in an American school since 20 children and six educators were shot to death at Sandy Hook Elementary School in Newtown, Conn., in 2012.",20 children,pos,128-139
NYT_0009,NYT,victim,"By Wednesday, all of the victims had been identified by the officials, who had yet to release 19 children and two teachers names, but the toll of the tragedy was only beginning to take shape.",had been identified,dep,33-52
NYT_0009,NYT,victim,"By Wednesday, all of the victims had been identified by the officials, who had yet to release 19 children and two teachers names, but the toll of the tragedy was only beginning to take shape.",to release children,dep,83-105
NYT_0009,NYT,victim,"By Wednesday, all of the victims had been identified by the officials, who had yet to release 19 children and two teachers names, but the toll of the tragedy was only beginning to take shape.",had been identified by officials,dep,33-69
NYT_0009,NYT,victim,"By Wednesday, all of the victims had been identified by the officials, who had yet to release 19 children and two teachers names, but the toll of the tragedy was only beginning to take shape.",the victims,pos,21-32
NYT_0009,NYT,victim,"By Wednesday, all of the victims had been identified by the officials, who had yet to release 19 children and two teachers names, but the toll of the tragedy was only beginning to take shape.",19 children,pos,94-105
NYT_0009,NYT,victim,"By Wednesday, all of the victims had been identified by the officials, who had yet to release 19 children and two teachers names, but the toll of the tragedy was only beginning to take shape.",two teachers names,pos,110-128
NYT_0009,NYT,victim,"By Wednesday, all of the victims had been identified by the officials, who had yet to release 19 children and two teachers names, but the toll of the tragedy was only beginning to take shape.",the tragedy,pos,146-157
NYT_0010,NYT,victim,"Rumors about the gunman and what had taken place spread widely online -- often with easily debunked evidence or none at all -- almost immediately after the first official reports about the deadly school shooting in Uvalde, Texas.",the deadly school shooting,pos,185-211
NYT_0010,NYT,victim,The two teachers who were killed were also accused of being crisis actors.,were killed,dep,21-32
NYT_0010,NYT,victim,The two teachers who were killed were also accused of being crisis actors.,were accused,dep,33-50
NYT_0010,NYT,victim,The two teachers who were killed were also accused of being crisis actors.,The two teachers,pos,0-16
NYT_0011,NYT,victim,"Nearly a decade later, while watching the death toll rise after Tuesday's shooting at Robb Elementary School in Uvalde, Tex., one father of a Sandy Hook victim felt defeated.

''I guess it's something in society we know will happen again, over and over,'' said Neil Heslin, whose son Jesse Lewis, 6, died in the shooting in 2012.",watching toll rise,dep,29-57
NYT_0011,NYT,victim,"Nearly a decade later, while watching the death toll rise after Tuesday's shooting at Robb Elementary School in Uvalde, Tex., one father of a Sandy Hook victim felt defeated.

''I guess it's something in society we know will happen again, over and over,'' said Neil Heslin, whose son Jesse Lewis, 6, died in the shooting in 2012.",felt defeated,dep,160-173
NYT_0011,NYT,victim,"Nearly a decade later, while watching the death toll rise after Tuesday's shooting at Robb Elementary School in Uvalde, Tex., one father of a Sandy Hook victim felt defeated.

''I guess it's something in society we know will happen again, over and over,'' said Neil Heslin, whose son Jesse Lewis, 6, died in the shooting in 2012.",Tex,dep,120-123
NYT_0011,NYT,victim,"Nearly a decade later, while watching the death toll rise after Tuesday's shooting at Robb Elementary School in Uvalde, Tex., one father of a Sandy Hook victim felt defeated.

''I guess it's something in society we know will happen again, over and over,'' said Neil Heslin, whose son Jesse Lewis, 6, died in the shooting in 2012.",one father,dep,126-136
NYT_0011,NYT,victim,"Nearly a decade later, while watching the death toll rise after Tuesday's shooting at Robb Elementary School in Uvalde, Tex., one father of a Sandy Hook victim felt defeated.

''I guess it's something in society we know will happen again, over and over,'' said Neil Heslin, whose son Jesse Lewis, 6, died in the shooting in 2012.",a Sandy Hook victim,pos,140-159
NYT_0011,NYT,victim,Mr. Heslin said one father of a Sandy Hook victim ''felt compelled'' to watch the coverage. '',felt compelled,dep,52-66
NYT_0011,NYT,victim,Mr. Heslin said one father of a Sandy Hook victim ''felt compelled'' to watch the coverage. '',a Sandy Hook victim,pos,30-49
NYT_0011,NYT,victim,"the coverage's almost like an instant replay of Sandy Hook,'' one father of a Sandy Hook victim said.",said,dep,96-100
NYT_0011,NYT,victim,"the coverage's almost like an instant replay of Sandy Hook,'' one father of a Sandy Hook victim said.",a Sandy Hook victim,pos,76-95
NYT_0012,NYT,victim,"And now 19 elementary school students killed in Uvalde, Texas.",killed,dep,38-44
NYT_0012,NYT,victim,"And now 19 elementary school students killed in Uvalde, Texas.",And now 19 elementary school students,pos,0-37
NYT_0012,NYT,victim,"The next day another angry man walked into a Presbyterian church in Laguna Woods, Calif., and killed one person and wounded five others.",killed person,dep,94-111
NYT_0012,NYT,victim,"The next day another angry man walked into a Presbyterian church in Laguna Woods, Calif., and killed one person and wounded five others.",wounded others,dep,116-135
NYT_0012,NYT,victim,"The next day another angry man walked into a Presbyterian church in Laguna Woods, Calif., and killed one person and wounded five others.",one person,pos,101-111
NYT_0012,NYT,victim,"''I guess the killing of at least 19 elementary school children in second, third and fourth grades's something in society we know will happen again, over and over,'' said Neil Heslin, whose 6-year-old son, Jesse Lewis, died in the Sandy Hook Elementary School shooting in 2012.",will happen,dep,130-141
NYT_0012,NYT,victim,"''I guess the killing of at least 19 elementary school children in second, third and fourth grades's something in society we know will happen again, over and over,'' said Neil Heslin, whose 6-year-old son, Jesse Lewis, died in the Sandy Hook Elementary School shooting in 2012.",at least 19 elementary school children,pos,25-63
NYT_0012,NYT,victim,"''I guess the killing of at least 19 elementary school children in second, third and fourth grades's something in society we know will happen again, over and over,'' said Neil Heslin, whose 6-year-old son, Jesse Lewis, died in the Sandy Hook Elementary School shooting in 2012.",the Sandy Hook Elementary School shooting,pos,227-268
NYT_0012,NYT,victim,"The misery mounts, and yet nothing changes, leaving Americans with little more to do than keep lists, mental spreadsheets of death that treat events like Uvalde as just another morbid tally with superlatives like ''second-deadliest shooting in an elementary school.''",''second-deadliest shooting,pos,213-240
NYT_0012,NYT,victim,"Each event evokes some atrocity from the past, the exact details of each shooting growing more indistinct by the year: The latest death toll of 21 at Robb Elementary School in Texas surpasses the shooting in Parkland, Fla., in 2018, when 17 people were killed.",were killed,dep,248-259
NYT_0012,NYT,victim,"Each event evokes some atrocity from the past, the exact details of each shooting growing more indistinct by the year: The latest death toll of 21 at Robb Elementary School in Texas surpasses the shooting in Parkland, Fla., in 2018, when 17 people were killed.",17 people,pos,238-247
NYT_0012,NYT,victim,"The latest death toll of 21 at Robb Elementary School in Texas falls short of the deadliest school shooting -- 26 people killed at Sandy Hook in Newtown, Conn.",killed,dep,121-127
NYT_0012,NYT,victim,"The latest death toll of 21 at Robb Elementary School in Texas falls short of the deadliest school shooting -- 26 people killed at Sandy Hook in Newtown, Conn.",the deadliest school shooting,pos,78-107
NYT_0012,NYT,victim,"The latest death toll of 21 at Robb Elementary School in Texas falls short of the deadliest school shooting -- 26 people killed at Sandy Hook in Newtown, Conn.",26 people,pos,111-120
NYT_0013,NYT,victim,"Xavier Lopez, 10, made the honor roll on the day Xavier Lopez, 10, was killed.",was killed,dep,67-77
NYT_0013,NYT,victim,"Xavier's classroom, where a nightmare erupted when a gunman burst in and killed 19 children and two teachers, reflected the close-knit character of Uvalde, a Mexican American ranching town in southern Texas where lives are braided together by generations of friendships and marriage.",killed children,dep,73-91
NYT_0013,NYT,victim,"Xavier's classroom, where a nightmare erupted when a gunman burst in and killed 19 children and two teachers, reflected the close-knit character of Uvalde, a Mexican American ranching town in southern Texas where lives are braided together by generations of friendships and marriage.",reflected character,dep,110-144
NYT_0013,NYT,victim,"Xavier's classroom, where a nightmare erupted when a gunman burst in and killed 19 children and two teachers, reflected the close-knit character of Uvalde, a Mexican American ranching town in southern Texas where lives are braided together by generations of friendships and marriage.",19 children,pos,80-91
NYT_0013,NYT,victim,"Xavier's classroom, where a nightmare erupted when a gunman burst in and killed 19 children and two teachers, reflected the close-knit character of Uvalde, a Mexican American ranching town in southern Texas where lives are braided together by generations of friendships and marriage.",two teachers,pos,96-108
NYT_0013,NYT,victim,"There was Xavier and Xavier Lopez, 10, elementary-school sweetheart, who was also killed in the shooting.",was killed,dep,73-88
NYT_0013,NYT,victim,"There were cousins Jackie Cazares, who had her First Communion two weeks ago, and Annabelle Rodriguez, an honor-roll student.",roll student,dep,112-124
NYT_0013,NYT,victim,"There were cousins Jackie Cazares, who had her First Communion two weeks ago, and Annabelle Rodriguez, an honor-roll student.",an honor-roll student,pos,103-124
NYT_0013,NYT,victim,"On Wednesday, their deaths united Uvalde in anguish as families began to grapple with the toll of the deadliest school massacre since the shooting at Sandy Hook Elementary in Newtown, Conn., 10 years ago.",the deadliest school massacre,pos,98-127
NYT_0015,NYT,victim,"my older daughter, then not even 2 years old teachers explained that Her teachers were training the children to hide in a small dark room and not make a sound, so that if one day the worst happened, the shooter might not realize two young children were there.",explained,dep,54-63
NYT_0015,NYT,victim,"my older daughter, then not even 2 years old teachers explained that Her teachers were training the children to hide in a small dark room and not make a sound, so that if one day the worst happened, the shooter might not realize two young children were there.",were training children,dep,82-108
NYT_0015,NYT,victim,"my older daughter, then not even 2 years old teachers explained that Her teachers were training the children to hide in a small dark room and not make a sound, so that if one day the worst happened, the shooter might not realize two young children were there.",to hide,dep,109-116
NYT_0015,NYT,victim,"my older daughter, then not even 2 years old teachers explained that Her teachers were training the children to hide in a small dark room and not make a sound, so that if one day the worst happened, the shooter might not realize two young children were there.",might not realize,dep,211-228
